id_2020,id_2016,lib_con_scale,democrat_thermometer,republican_thermometer,youtube_use,election_year
431239,,Extremely conservative,,,,2020
217754,,Moderate,60.0,40.0,Yes,2020
365844,,DK,0.0,100.0,No,2020
231743,,DK,0.0,70.0,Yes,2020
520054,,Moderate,60.0,45.0,Yes,2020
300137,,Slightly liberal,75.0,5.0,Yes,2020
325396,,DK,70.0,0.0,Yes,2020
410614,,Slightly liberal,100.0,15.0,Yes,2020
509842,,Slightly liberal,70.0,0.0,Yes,2020
323154,,Conservative,100.0,0.0,No,2020
208217,,Conservative,0.0,90.0,Yes,2020
313744,,Moderate,0.0,85.0,Yes,2020
347662,,Liberal,100.0,0.0,Yes,2020
223520,,Moderate,100.0,0.0,Yes,2020
333809,,Conservative,,,,2020
207771,,Liberal,85.0,0.0,Yes,2020
364025,,DK,40.0,85.0,,2020
231965,,Conservative,20.0,60.0,Yes,2020
465003,,Conservative,30.0,70.0,Yes,2020
422471,,Moderate,,,,2020
403777,,Moderate,0.0,100.0,Yes,2020
339029,,Conservative,30.0,85.0,Yes,2020
347891,,Slightly conservative,30.0,70.0,Yes,2020
226918,,Liberal,85.0,0.0,Yes,2020
514646,,Slightly conservative,40.0,70.0,Yes,2020
356215,,Slightly liberal,85.0,0.0,Yes,2020
217259,,Conservative,0.0,60.0,Yes,2020
209258,,Conservative,30.0,60.0,Yes,2020
311670,,Moderate,70.0,0.0,Yes,2020
231118,,Extremely conservative,0.0,100.0,Yes,2020
516949,,Slightly conservative,0.0,70.0,Yes,2020
324133,,Liberal,50.0,50.0,No,2020
510057,,Moderate,,,,2020
232128,,Extremely Liberal,100.0,0.0,Yes,2020
227867,,DK,100.0,0.0,No,2020
446866,,DK,,,,2020
214205,,Moderate,60.0,0.0,No,2020
220880,,DK,0.0,100.0,Yes,2020
230467,,Moderate,50.0,85.0,No,2020
504113,,Moderate,60.0,15.0,Yes,2020
316316,,DK,,,,2020
228037,,Slightly conservative,100.0,0.0,No,2020
205669,,Liberal,100.0,0.0,No,2020
210173,,Moderate,50.0,30.0,,2020
504977,,Slightly conservative,100.0,0.0,Yes,2020
207788,,Conservative,2.0,95.0,Yes,2020
200459,,Conservative,,100.0,Yes,2020
526311,,Moderate,65.0,30.0,No,2020
460138,,Conservative,15.0,85.0,Yes,2020
204529,,Extremely Liberal,70.0,0.0,Yes,2020
209272,,DK,70.0,30.0,Yes,2020
