video_id,channel_id,channel_name,lean,published_at,year,month,view_count,like_count,comment_count,title
N-mTwd5Mmlo,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2023-12-07T20:00:13Z,2023,12,8690504,457764,2323,Shane Gillis on Trump vs. Biden
fu4NaAmF_Xw,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2023-11-19T18:00:28Z,2023,11,7360576,485646,5182,That Was the Best Part of Trump
-noNxJE6fSY,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2023-11-16T20:00:00Z,2023,11,12686461,499380,28531,She Can't Do Basic Math
1yi1oJ8OF74,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2023-11-14T02:00:00Z,2023,11,7200191,319333,5839,Communism Stops Where Your Wallet Starts!
pAe0o74Lplw,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2023-11-11T01:00:32Z,2023,11,8390186,339118,15812,There Must Be a Definition | @YAFTV
KcdilOcoPjg,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2023-11-02T19:00:09Z,2023,11,6197045,288366,18643,Which Part?
D39_fYqgRnA,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2023-10-29T17:00:18Z,2023,10,6122385,403715,8645,This Is Absolutely Correct
cqID6T50egk,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2023-10-25T01:00:26Z,2023,10,3615557,212509,31381,Gen-Z Is Not Qualified for This...
-Ib3WlBBfxA,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2023-10-21T01:00:00Z,2023,10,4937401,186297,23553,"Nice Work, AOC"
kEjqeYYMTtw,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2023-10-15T17:00:24Z,2023,10,5976482,350566,22040,There Is No Duality About This
Zf5sHK1EDwA,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2023-10-06T19:00:14Z,2023,10,3222668,217129,2032,Is This Candace's Brother?
QJKtg6EkKg0,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2023-09-25T23:00:11Z,2023,9,8955659,401801,6855,2005 Domino's Pizza Commercial With Donald Trump
rqr8e7Dje5o,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2023-09-24T23:00:31Z,2023,9,7444663,422956,4698,Great Ideas Come from Random People
pdykXaq4vc8,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2023-09-23T23:00:31Z,2023,9,10652988,668732,6221,Women Guarding the White House?
YLLPnj3dd8Q,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2023-09-19T19:00:14Z,2023,9,27606881,1211906,16951,Exposing Jordan Peterson
